,state,count
0,california,1462259
1,new york,772242
2,colorado,353808
3,texas,246732
4,oregon,216751
5,district of columbia,167869
6,washington,164903
7,ohio,135412
8,florida,121894
9,maryland,120183
10,wisconsin,115824
11,louisiana,104072
12,michigan,90077
13,missouri,83452
14,south dakota,61304
15,kansas,44767
16,pennsylvania,40154
17,kentucky,32711
18,nevada,31864
19,north carolina,22593
20,iowa,15805
21,hawaii,14667
22,tennessee,10411
23,oklahoma,8871
24,new mexico,2474
25,virginia,1815
26,massachusetts,1333
27,arizona,212
