state,code
Alabama,001
Arizona,002
Arkansas,003
California,004
Colorado,005
Connecticut,006
Delaware,007
Florida,008
Georgia,009
Idaho,010
Illinois,011
Indiana,012
Iowa,013
Kansas,014
Kentucky,015
Louisiana,016
Maine,017
Maryland,018
Massachusetts,019
Michigan,020
Minnesota,021
Mississippi,022
Missouri,023
Montana,024
Nebraska,025
Nevada,026
New-Hampshire,027
New-Jersey,028
New-Mexico,029
New-York,030
North-Carolina,031
North-Dakota,032
Ohio,033
Oklahoma,034
Oregon,035
Pennsylvania,036
Rhode-Island,037
South-Carolina,038
South-Dakota,039
Tennessee,040
Texas,041
Utah,042
Vermont,043
Virginia,044
Washington,045
West-Virginia,046
Wisconsin,047
Wyoming,048
Alaska,050
